itemsets,count,support
frozenset({'Bills and Utilities'}),8373041.0,0.0952980288
"frozenset({'Education', 'Bills and Utilities', 'Health', 'Entertainment', 'Gambling', 'Tax'})",72.0,0.0000008195
"frozenset({'Gambling', 'Education', 'Bills and Utilities', 'Health', 'Tax', 'Groceries'})",40.0,0.0000004553
"frozenset({'Clothing', 'Education', 'Savings', 'Entertainment', 'Housing', 'Gambling'})",11.0,0.0000001252
"frozenset({'Clothing', 'Gambling', 'Education', 'Motor/Travel', 'Housing', 'Groceries'})",24.0,0.0000002732
"frozenset({'Clothing', 'Education', 'Savings', 'Motor/Travel', 'Housing', 'Gambling'})",6.0,0.0000000683
"frozenset({'Clothing', 'Savings', 'Entertainment', 'Housing', 'Gambling', 'Motor/Travel'})",34.0,0.0000003870
"frozenset({'Education', 'Savings', 'Entertainment', 'Housing', 'Gambling', 'Motor/Travel'})",26.0,0.0000002959
"frozenset({'Clothing', 'Bills and Utilities', 'Savings', 'Motor/Travel', 'Housing', 'Gambling'})",8.0,0.0000000911
"frozenset({'Savings', 'Entertainment', 'Housing', 'Gambling', 'Motor/Travel', 'Tax'})",36.0,0.0000004097
"frozenset({'Clothing', 'Bills and Utilities', 'Savings', 'Entertainment', 'Housing', 'Gambling', 'Motor/Travel'})",5.0,0.0000000569
"frozenset({'Gambling', 'Education', 'Bills and Utilities', 'Health', 'Entertainment', 'Groceries', 'Tax'})",33.0,0.0000003756
"frozenset({'Clothing', 'Gambling', 'Education', 'Entertainment', 'Groceries', 'Motor/Travel', 'Tax'})",45.0,0.0000005122
"frozenset({'Clothing', 'Education', 'Savings', 'Entertainment', 'Housing', 'Gambling', 'Motor/Travel'})",5.0,0.0000000569
"frozenset({'Tax', 'Entertainment', 'Fines', 'Gambling'})",48.0,0.0000005463
"frozenset({'Tax', 'Fines', 'Health', 'Gambling'})",7.0,0.0000000797
"frozenset({'Clothing', 'Education', 'Health', 'Savings', 'Tax'})",62.0,0.0000007057
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Entertainment', 'Gambling', 'Motor/Travel', 'Tax'})",18.0,0.0000002049
"frozenset({'Education', 'Fines', 'Entertainment', 'Motor/Travel', 'Tax'})",16.0,0.0000001821
"frozenset({'Clothing', 'Gambling', 'Bills and Utilities', 'Savings', 'Housing', 'Groceries'})",6.0,0.0000000683
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Motor/Travel', 'Gambling', 'Tax'})",26.0,0.0000002959
"frozenset({'Housing', 'Fines', 'Clothing'})",72.0,0.0000008195
"frozenset({'Fines', 'Savings', 'Education'})",54.0,0.0000006146
"frozenset({'Motor/Travel', 'Education', 'Fines', 'Bills and Utilities'})",52.0,0.0000005918
"frozenset({'Fines', 'Clothing', 'Savings', 'Education'})",5.0,0.0000000569
"frozenset({'Entertainment', 'Housing', 'Fines', 'Clothing'})",53.0,0.0000006032
"frozenset({'Fines', 'Groceries', 'Savings', 'Education'})",25.0,0.0000002845
"frozenset({'Clothing', 'Education', 'Health', 'Motor/Travel', 'Gambling', 'Tax'})",16.0,0.0000001821
"frozenset({'Clothing', 'Bills and Utilities', 'Savings', 'Entertainment', 'Housing', 'Gambling'})",17.0,0.0000001935
"frozenset({'Clothing', 'Gambling', 'Bills and Utilities', 'Savings', 'Entertainment', 'Housing', 'Groceries'})",3.0,0.0000000341
"frozenset({'Education', 'Bills and Utilities', 'Fines', 'Entertainment', 'Motor/Travel'})",42.0,0.0000004780
"frozenset({'Bills and Utilities', 'Motor/Travel', 'Housing', 'Gambling', 'Tax'})",189.0,0.0000021511
"frozenset({'Clothing', 'Education', 'Fines', 'Savings', 'Groceries'})",3.0,0.0000000341
"frozenset({'Clothing', 'Education', 'Savings', 'Housing', 'Gambling'})",14.0,0.0000001593
"frozenset({'Clothing', 'Savings', 'Motor/Travel', 'Housing', 'Gambling'})",49.0,0.0000005577
"frozenset({'Education', 'Savings', 'Motor/Travel', 'Housing', 'Gambling'})",35.0,0.0000003984
"frozenset({'Education', 'Health', 'Entertainment', 'Gambling', 'Motor/Travel'})",2021.0,0.0000230021
"frozenset({'Savings', 'Motor/Travel', 'Housing', 'Gambling', 'Tax'})",45.0,0.0000005122
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Entertainment', 'Gambling', 'Tax'})",61.0,0.0000006943
"frozenset({'Education', 'Bills and Utilities', 'Health', 'Tax', 'Gambling'})",91.0,0.0000010357
"frozenset({'Fines', 'Health', 'Entertainment', 'Gambling', 'Tax'})",7.0,0.0000000797
"frozenset({'Education', 'Bills and Utilities', 'Savings', 'Motor/Travel', 'Gambling', 'Tax'})",15.0,0.0000001707
"frozenset({'Clothing', 'Education', 'Health', 'Tax', 'Housing', 'Groceries'})",18.0,0.0000002049
"frozenset({'Fines', 'Entertainment', 'Housing', 'Groceries', 'Tax'})",22.0,0.0000002504
"frozenset({'Clothing', 'Gambling', 'Education', 'Bills and Utilities', 'Housing', 'Groceries'})",17.0,0.0000001935
frozenset({'Entertainment'}),67857929.0,0.7723271472
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Health', 'Housing', 'Gambling'})",3.0,0.0000000341
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Savings', 'Housing', 'Gambling'})",2.0,0.0000000228
"frozenset({'Clothing', 'Bills and Utilities', 'Entertainment', 'Housing', 'Gambling', 'Tax'})",50.0,0.0000005691
"frozenset({'Clothing', 'Gambling', 'Bills and Utilities', 'Tax', 'Housing', 'Groceries'})",34.0,0.0000003870
